slug,label
er_611,Lake Erie Grid: 611
er_612,Lake Erie Grid: 612
er_613,Lake Erie Grid: 613
er_614,Lake Erie Grid: 614
er_615,Lake Erie Grid: 615
er_617,Lake Erie Grid: 617
er_618,Lake Erie Grid: 618
er_619,Lake Erie Grid: 619
er_620,Lake Erie Grid: 620
er_621,Lake Erie Grid: 621
er_703,Lake Erie Grid: 703
er_705,Lake Erie Grid: 705
er_706,Lake Erie Grid: 706
er_707,Lake Erie Grid: 707
er_708,Lake Erie Grid: 708
er_709,Lake Erie Grid: 709
er_710,Lake Erie Grid: 710
er_711,Lake Erie Grid: 711
er_712,Lake Erie Grid: 712
on_719,Lake Ontario Grid: 719
on_720,Lake Ontario Grid: 720
on_721,Lake Ontario Grid: 721
on_801,Lake Ontario Grid: 801
on_803,Lake Ontario Grid: 803
on_804,Lake Ontario Grid: 804
on_806,Lake Ontario Grid: 806
on_815,Lake Ontario Grid: 815
on_816,Lake Ontario Grid: 816
on_817,Lake Ontario Grid: 817
on_818,Lake Ontario Grid: 818
on_819,Lake Ontario Grid: 819
er_1005,Lake Erie Grid: 1005
er_1006,Lake Erie Grid: 1006
er_1007,Lake Erie Grid: 1007
er_1008,Lake Erie Grid: 1008
er_1009,Lake Erie Grid: 1009
er_1011,Lake Erie Grid: 1011
er_713,Lake Erie Grid: 713
er_714,Lake Erie Grid: 714
er_715,Lake Erie Grid: 715
er_716,Lake Erie Grid: 716
er_717,Lake Erie Grid: 717
er_718,Lake Erie Grid: 718
er_719,Lake Erie Grid: 719
er_801,Lake Erie Grid: 801
er_803,Lake Erie Grid: 803
er_804,Lake Erie Grid: 804
er_805,Lake Erie Grid: 805
er_806,Lake Erie Grid: 806
er_807,Lake Erie Grid: 807
er_808,Lake Erie Grid: 808
er_809,Lake Erie Grid: 809
er_810,Lake Erie Grid: 810
er_811,Lake Erie Grid: 811
er_812,Lake Erie Grid: 812
er_813,Lake Erie Grid: 813
er_815,Lake Erie Grid: 815
er_905,Lake Erie Grid: 905
er_906,Lake Erie Grid: 906
er_907,Lake Erie Grid: 907
er_908,Lake Erie Grid: 908
er_909,Lake Erie Grid: 909
er_910,Lake Erie Grid: 910
er_911,Lake Erie Grid: 911
er_912,Lake Erie Grid: 912
er_913,Lake Erie Grid: 913
hu_104,Lake Huron Grid: 104
hu_105,Lake Huron Grid: 105
hu_106,Lake Huron Grid: 106
hu_107,Lake Huron Grid: 107
hu_108,Lake Huron Grid: 108
hu_109,Lake Huron Grid: 109
hu_110,Lake Huron Grid: 110
hu_202,Lake Huron Grid: 202
hu_205,Lake Huron Grid: 205
hu_206,Lake Huron Grid: 206
hu_208,Lake Huron Grid: 208
hu_209,Lake Huron Grid: 209
hu_210,Lake Huron Grid: 210
hu_211,Lake Huron Grid: 211
hu_212,Lake Huron Grid: 212
hu_213,Lake Huron Grid: 213
hu_214,Lake Huron Grid: 214
hu_215,Lake Huron Grid: 215
hu_216,Lake Huron Grid: 216
hu_217,Lake Huron Grid: 217
hu_218,Lake Huron Grid: 218
hu_219,Lake Huron Grid: 219
hu_220,Lake Huron Grid: 220
hu_301,Lake Huron Grid: 301
hu_302,Lake Huron Grid: 302
hu_303,Lake Huron Grid: 303
hu_304,Lake Huron Grid: 304
hu_305,Lake Huron Grid: 305
hu_306,Lake Huron Grid: 306
hu_307,Lake Huron Grid: 307
hu_309,Lake Huron Grid: 309
hu_310,Lake Huron Grid: 310
hu_311,Lake Huron Grid: 311
hu_312,Lake Huron Grid: 312
hu_313,Lake Huron Grid: 313
hu_314,Lake Huron Grid: 314
hu_315,Lake Huron Grid: 315
hu_316,Lake Huron Grid: 316
hu_317,Lake Huron Grid: 317
hu_318,Lake Huron Grid: 318
hu_319,Lake Huron Grid: 319
hu_320,Lake Huron Grid: 320
hu_321,Lake Huron Grid: 321
hu_322,Lake Huron Grid: 322
hu_323,Lake Huron Grid: 323
hu_324,Lake Huron Grid: 324
hu_325,Lake Huron Grid: 325
hu_401,Lake Huron Grid: 401
hu_402,Lake Huron Grid: 402
hu_403,Lake Huron Grid: 403
hu_405,Lake Huron Grid: 405
hu_406,Lake Huron Grid: 406
hu_407,Lake Huron Grid: 407
hu_408,Lake Huron Grid: 408
hu_409,Lake Huron Grid: 409
hu_410,Lake Huron Grid: 410
hu_412,Lake Huron Grid: 412
hu_413,Lake Huron Grid: 413
hu_414,Lake Huron Grid: 414
hu_415,Lake Huron Grid: 415
hu_419,Lake Huron Grid: 419
hu_421,Lake Huron Grid: 421
hu_422,Lake Huron Grid: 422
hu_423,Lake Huron Grid: 423
hu_424,Lake Huron Grid: 424
hu_425,Lake Huron Grid: 425
hu_504,Lake Huron Grid: 504
hu_505,Lake Huron Grid: 505
hu_506,Lake Huron Grid: 506
hu_507,Lake Huron Grid: 507
hu_508,Lake Huron Grid: 508
hu_509,Lake Huron Grid: 509
hu_510,Lake Huron Grid: 510
hu_511,Lake Huron Grid: 511
hu_512,Lake Huron Grid: 512
hu_513,Lake Huron Grid: 513
hu_514,Lake Huron Grid: 514
hu_515,Lake Huron Grid: 515
hu_516,Lake Huron Grid: 516
hu_517,Lake Huron Grid: 517
hu_518,Lake Huron Grid: 518
hu_520,Lake Huron Grid: 520
hu_521,Lake Huron Grid: 521
hu_522,Lake Huron Grid: 522
hu_523,Lake Huron Grid: 523
hu_524,Lake Huron Grid: 524
hu_525,Lake Huron Grid: 525
hu_526,Lake Huron Grid: 526
hu_527,Lake Huron Grid: 527
hu_606,Lake Huron Grid: 606
hu_607,Lake Huron Grid: 607
hu_608,Lake Huron Grid: 608
hu_609,Lake Huron Grid: 609
hu_610,Lake Huron Grid: 610
hu_611,Lake Huron Grid: 611
hu_612,Lake Huron Grid: 612
hu_613,Lake Huron Grid: 613
hu_614,Lake Huron Grid: 614
hu_615,Lake Huron Grid: 615
hu_616,Lake Huron Grid: 616
hu_617,Lake Huron Grid: 617
hu_619,Lake Huron Grid: 619
hu_620,Lake Huron Grid: 620
hu_621,Lake Huron Grid: 621
hu_622,Lake Huron Grid: 622
hu_623,Lake Huron Grid: 623
hu_624,Lake Huron Grid: 624
hu_625,Lake Huron Grid: 625
hu_626,Lake Huron Grid: 626
hu_627,Lake Huron Grid: 627
hu_628,Lake Huron Grid: 628
hu_629,Lake Huron Grid: 629
hu_709,Lake Huron Grid: 709
hu_710,Lake Huron Grid: 710
hu_711,Lake Huron Grid: 711
hu_712,Lake Huron Grid: 712
hu_713,Lake Huron Grid: 713
hu_714,Lake Huron Grid: 714
hu_715,Lake Huron Grid: 715
hu_716,Lake Huron Grid: 716
hu_717,Lake Huron Grid: 717
hu_719,Lake Huron Grid: 719
hu_720,Lake Huron Grid: 720
hu_721,Lake Huron Grid: 721
hu_722,Lake Huron Grid: 722
hu_723,Lake Huron Grid: 723
hu_724,Lake Huron Grid: 724
hu_725,Lake Huron Grid: 725
hu_726,Lake Huron Grid: 726
hu_727,Lake Huron Grid: 727
hu_728,Lake Huron Grid: 728
hu_729,Lake Huron Grid: 729
hu_809,Lake Huron Grid: 809
hu_810,Lake Huron Grid: 810
hu_811,Lake Huron Grid: 811
hu_812,Lake Huron Grid: 812
hu_813,Lake Huron Grid: 813
hu_814,Lake Huron Grid: 814
hu_815,Lake Huron Grid: 815
hu_816,Lake Huron Grid: 816
hu_817,Lake Huron Grid: 817
hu_819,Lake Huron Grid: 819
hu_820,Lake Huron Grid: 820
hu_822,Lake Huron Grid: 822
hu_823,Lake Huron Grid: 823
hu_824,Lake Huron Grid: 824
su_124,Lake Superior Grid: 124
hu_1011,Lake Huron Grid: 1011
hu_1012,Lake Huron Grid: 1012
hu_1013,Lake Huron Grid: 1013
hu_1014,Lake Huron Grid: 1014
hu_1015,Lake Huron Grid: 1015
hu_1017,Lake Huron Grid: 1017
hu_1018,Lake Huron Grid: 1018
hu_1019,Lake Huron Grid: 1019
hu_1020,Lake Huron Grid: 1020
hu_1021,Lake Huron Grid: 1021
hu_1022,Lake Huron Grid: 1022
hu_1023,Lake Huron Grid: 1023
hu_1024,Lake Huron Grid: 1024
hu_1025,Lake Huron Grid: 1025
hu_1026,Lake Huron Grid: 1026
hu_1027,Lake Huron Grid: 1027
hu_1028,Lake Huron Grid: 1028
hu_1029,Lake Huron Grid: 1029
hu_1031,Lake Huron Grid: 1031
hu_1110,Lake Huron Grid: 1110
hu_1111,Lake Huron Grid: 1111
hu_1112,Lake Huron Grid: 1112
hu_1113,Lake Huron Grid: 1113
hu_1114,Lake Huron Grid: 1114
hu_1115,Lake Huron Grid: 1115
hu_1117,Lake Huron Grid: 1117
hu_1118,Lake Huron Grid: 1118
hu_1119,Lake Huron Grid: 1119
hu_1120,Lake Huron Grid: 1120
hu_1121,Lake Huron Grid: 1121
hu_1122,Lake Huron Grid: 1122
hu_1124,Lake Huron Grid: 1124
hu_1126,Lake Huron Grid: 1126
hu_1127,Lake Huron Grid: 1127
hu_1128,Lake Huron Grid: 1128
hu_1129,Lake Huron Grid: 1129
hu_1210,Lake Huron Grid: 1210
hu_1211,Lake Huron Grid: 1211
hu_1212,Lake Huron Grid: 1212
hu_1213,Lake Huron Grid: 1213
hu_1214,Lake Huron Grid: 1214
hu_1215,Lake Huron Grid: 1215
hu_1216,Lake Huron Grid: 1216
hu_1217,Lake Huron Grid: 1217
hu_1218,Lake Huron Grid: 1218
hu_1220,Lake Huron Grid: 1220
hu_1221,Lake Huron Grid: 1221
hu_1308,Lake Huron Grid: 1308
hu_1309,Lake Huron Grid: 1309
hu_1310,Lake Huron Grid: 1310
hu_1311,Lake Huron Grid: 1311
hu_1312,Lake Huron Grid: 1312
hu_1313,Lake Huron Grid: 1313
hu_1314,Lake Huron Grid: 1314
hu_1315,Lake Huron Grid: 1315
hu_1316,Lake Huron Grid: 1316
hu_1317,Lake Huron Grid: 1317
